Date,Volume,Open,High,Low,Close,macd,macds,macdh
2021-02-19,371.0734,25.15,26.35,25.1,26.05,0.6469528791219297,0.36576830782360636,0.2811845712983233
2021-02-22,180.8174,26.0,26.7,25.8,26.1,0.7717462267401167,0.4469638916069084,0.3247823351332083
2021-02-23,161.0196,26.1,27.1,25.8,26.25,0.8726897757088921,0.5321090684273051,0.34058070728158696
2021-02-24,140.01,26.15,26.45,25.2,25.45,0.8780137553772072,0.6012900058172855,0.27672374955992163
2021-02-25,74.9402,25.95,26.1,25.3,25.45,0.8721791097569138,0.6554678266052112,0.21671128315170263
2021-02-26,76.3152,25.2,25.85,25.0,25.05,0.8257596112252692,0.6895261835292228,0.1362334276960464
2021-03-02,70.4618,25.15,25.55,24.6,24.6,0.7440832564073112,0.7004375981048405,0.04364565830247069
2021-03-03,59.0853,24.6,25.6,24.45,25.6,0.7513843088273475,0.7106269402493419,0.040757368578005604
2021-03-04,26.2105,25.5,25.55,25.0,25.25,0.720621494525922,0.7126258511046579,0.00799564342126402
2021-03-05,817.5563,24.8,26.1,24.45,24.8,0.6524099278279287,0.7005826664493121,-0.04817273862138338
2021-03-08,110.0258,24.6,25.9,24.6,25.35,0.6354075900693523,0.6875476511733202,-0.05214006110396785
2021-03-09,34.405,25.5,25.5,24.6,24.9,0.5789481221380548,0.6658277453662671,-0.0868796232282123
2021-03-10,30.8,25.05,25.35,24.85,25.0,0.5360930048455792,0.6398807972621295,-0.10378779241655034
2021-03-11,55.7513,25.5,25.65,25.1,25.55,0.5402823801310142,0.6199611138359065,-0.07967873370489231
2021-03-12,70.4342,25.8,26.5,25.4,25.55,0.5374075900540056,0.6034504090795263,-0.06604281902552067
2021-03-15,115.2432,25.65,26.15,25.65,25.9,0.5569511865457599,0.594150564572773,-0.03719937802701312
2021-03-16,84.0088,26.1,26.3,25.7,25.8,0.5579388910729683,0.5869082298728121,-0.028969338799843758
2021-03-17,494.7396,25.8,28.35,25.65,28.35,0.7557732591091231,0.6206812357200743,0.1350920233890488
2021-03-18,861.6157,29.75,30.45,28.2,28.8,0.9380563308285126,0.6841562547417619,0.2539000760867507
2021-03-19,651.9252,28.5,31.65,28.5,31.65,1.2975310299724399,0.8068312097878975,0.4906998201845424
2021-03-22,1138.9066,32.0,34.8,32.0,34.0,1.7518484605840925,0.9958346599471365,0.756013800636956
2021-03-23,986.3971,35.0,35.55,33.25,34.8,2.1516487442760273,1.2269974768129146,0.9246512674631127
2021-03-24,1059.6511,35.0,37.95,33.9,36.8,2.599906530709582,1.501579287592248,1.0983272431173339
2021-03-25,667.0891,36.8,37.25,34.65,36.0,2.8576594228645362,1.7727953146467057,1.0848641082178305
2021-03-26,616.4759,36.25,37.8,35.6,36.5,3.066922692525946,2.031620790222554,1.035301902303392
2021-03-29,787.6869,37.8,39.6,37.05,37.4,3.2677195825167793,2.2788405486813987,0.9888790338353806
2021-03-30,344.6878,37.4,38.45,37.2,38.3,3.4595949854153893,2.514991436028197,0.9446035493871925
2021-03-31,992.7653,38.75,41.6,38.45,41.0,3.785883748536346,2.7691698985298268,1.0167138500065191
2021-04-01,821.1493,41.0,42.85,40.2,41.4,4.03028795042842,3.0213935089095454,1.0088944415188745
2021-04-06,533.8432,41.7,43.45,41.65,42.15,4.235672576407353,3.264249322409107,0.9714232539982461
2021-04-07,443.8946,42.15,42.4,40.05,40.75,4.236635772528658,3.458726612433017,0.7779091600956405
2021-04-08,458.1469,40.5,41.75,39.3,39.4,4.081417356127645,3.5832647611719426,0.4981525949557022
2021-04-09,376.7912,41.1,41.1,39.2,39.8,3.9452044389345176,3.6556526967244576,0.28955174221005997
2021-04-12,384.6381,41.1,42.0,40.05,41.05,3.8932404218865173,3.7031702417568697,0.1900701801296476
2021-04-13,288.8809,40.65,41.0,39.0,39.05,3.648616301157894,3.6922594536370745,-0.043643152479180713
2021-04-14,309.0107,39.35,40.3,36.9,39.95,3.487174425360159,3.6512424479816916,-0.16406802262153253
2021-04-15,328.4584,39.9,41.15,39.8,41.1,3.4126866374803413,3.6035312858814215,-0.19084464840108017
2021-04-16,1216.9242,42.2,45.0,41.5,44.95,3.6225587508225843,3.607336778869654,0.015221971952930069
2021-04-19,805.0091,47.4,48.65,44.5,45.7,3.805534808275091,3.6469763847507415,0.15855842352434957
2021-04-20,384.9753,46.1,47.3,45.3,46.3,3.9533874480652216,3.7082585974136375,0.24512885065158407
2021-04-21,910.5993,47.1,50.4,46.5,49.0,4.239558177837381,3.814518513498386,0.42503966433899487
2021-04-22,1230.288,50.1,52.7,46.5,47.45,4.291805237598048,3.9099758583183184,0.3818293792797296
2021-04-23,426.776,48.4,49.6,47.0,47.1,4.255909854360979,3.9791626575268504,0.27674719683412885
2021-04-26,526.9143,47.4,47.7,44.85,45.2,4.02771934208851,3.9888739944391824,0.038845347649327344
2021-04-27,364.3988,45.65,46.9,45.0,45.5,3.8269692901133467,3.9564930535740155,-0.12952376346066874
2021-04-28,342.5224,45.6,46.2,44.2,45.3,3.6101198842625664,3.8872184197117257,-0.2770985354491593
2021-04-29,231.9717,45.6,46.0,44.1,44.9,3.3671738268665123,3.783209501142683,-0.41603567427617083
2021-05-03,518.5904,44.9,44.9,40.45,40.45,2.783473367916706,3.583262274497488,-0.7997889065807819
2021-05-04,496.2405,39.05,40.25,36.45,37.3,2.0431556480225126,3.2752409492024928,-1.2320853011799802
2021-05-05,338.2307,37.5,40.0,37.15,38.3,1.5196228971307875,2.9241173387881516,-1.4044944416573641
2021-05-06,324.5191,39.0,41.3,38.85,39.35,1.175890708858006,2.5744720128021226,-1.3985813039441166
2021-05-07,203.7517,39.9,40.95,37.7,39.8,0.92908183532397,2.245393977306492,-1.316312141982522
2021-05-10,288.0493,39.8,41.85,38.15,41.6,0.8687149761696844,1.9700581770791306,-1.1013432009094462
2021-05-11,330.8024,40.4,42.2,37.45,38.7,0.5801800867904632,1.692082559021397,-1.1119024722309339
2021-05-12,261.4196,39.15,39.45,34.85,35.3,0.07628317816810437,1.3689226828507386,-1.2926395046826342
2021-05-13,186.5113,33.25,36.35,31.85,35.05,-0.33932019101657573,1.0272741080772758,-1.3665942990938515
2021-05-14,234.7587,37.9,37.9,34.0,34.45,-0.7089317174032388,0.6800329429811729,-1.3889646603844117
2021-05-17,208.796,31.05,33.75,31.05,31.05,-1.2616594749152625,0.29169445940188576,-1.5533539343171483
2021-05-18,157.6235,31.3,34.15,31.3,34.15,-1.433036954733339,-0.05325182342515922,-1.37978513130818
2021-05-19,256.0765,35.95,37.55,35.0,37.55,-1.279751083311801,-0.2985516754024876,-0.9811994079093135
2021-05-20,253.884,37.55,38.75,35.6,35.9,-1.2766951887984987,-0.49418037808168985,-0.782514810716809
2021-05-21,163.1311,37.0,37.75,36.0,37.05,-1.168013844791794,-0.6289470714237106,-0.5390667733680834
2021-05-24,137.8224,36.6,38.5,36.0,37.55,-1.0296679046749517,-0.7090912380739589,-0.3205766666009928
2021-05-25,219.536,38.5,39.7,37.35,38.15,-0.8616798558121843,-0.7396089616216039,-0.12207089419058037
2021-05-26,131.9141,38.15,39.4,37.0,38.95,-0.6564279103406463,-0.7229727513654124,0.0665448410247661
2021-05-27,116.529,38.7,39.4,38.1,38.25,-0.5439777774459529,-0.6871737565815205,0.14319597913556759
2021-05-28,212.7713,38.0,40.3,38.0,39.4,-0.35793875278548626,-0.6213267558223137,0.2633880030368274
2021-05-31,855.8461,40.3,42.3,39.55,40.65,-0.10838750836164479,-0.5187389063301799,0.41035139796853515
2021-06-01,395.1522,41.35,41.65,39.6,40.0,0.036513181809311845,-0.4076884887022816,0.4442016705115934
2021-06-02,209.5589,40.0,40.2,39.2,39.55,0.11372582303373946,-0.3034056263550774,0.41713144938881686
2021-06-03,82.4019,39.75,39.95,39.15,39.5,0.16893543284736978,-0.20893741451458797,0.37787284736195775
2021-06-04,101.345,39.0,39.4,38.5,38.55,0.13448215925009777,-0.1402534997616508,0.27473565901174857
2021-06-07,146.1502,39.0,39.3,37.0,38.5,0.10196768951718838,-0.09180926190588296,0.19377695142307133
2021-06-08,69.4575,38.55,38.8,37.75,38.5,0.07533136491714032,-0.0583811365412783,0.13371250145841862
2021-06-09,181.493,38.15,40.2,38.15,40.0,0.1732620921972483,-0.012052490793572977,0.1853145829908213
2021-06-10,1193.5579,41.0,44.0,40.85,44.0,0.5671022677905242,0.10377846092324647,0.4633238068672777
2021-06-11,2821.9498,44.0,46.5,42.3,46.35,1.0566681914856488,0.29435640703572696,0.7623117844499219
2021-06-15,1697.9248,47.15,48.95,46.6,47.2,1.4959957021700276,0.5346842660625871,0.9613114361074405
2021-06-16,1089.7505,46.95,47.9,46.0,47.1,1.8151725757584103,0.7907819280017518,1.0243906477566584
2021-06-17,503.8754,47.1,48.4,46.55,46.8,2.0206225755697247,1.0367500575153463,0.9838725180543784
2021-06-18,971.3095,47.3,49.5,45.1,45.3,2.0389025175806452,1.237180549528406,0.8017219680522392
2021-06-21,584.3445,44.35,45.0,41.5,42.8,1.8305588537136472,1.3558562103654543,0.4747026433481929
2021-06-22,224.7871,44.1,44.85,43.05,43.45,1.6983174207270935,1.424348452437782,0.2739689682893114
2021-06-23,206.5353,44.7,45.0,43.55,43.65,1.591309831683759,1.4577407282869774,0.13356910339678163
2021-06-24,122.5476,44.1,44.75,43.35,43.5,1.4773715800779073,1.4616668986451633,0.01570468143274395
2021-06-25,179.404,44.0,44.55,42.8,42.95,1.327392931895801,1.434812105295291,-0.10741917339948981
2021-06-28,185.2572,41.85,43.75,41.85,43.6,1.246613159879665,1.3971723162121656,-0.1505591563325006
2021-06-29,129.8672,43.65,44.1,42.6,42.75,1.1013114791276593,1.3380001487952644,-0.23668866966760516
2021-06-30,327.915,43.0,45.45,42.75,44.35,1.1025559004287615,1.2909112991219638,-0.18835539869320228
