Date,Open,High,Low,Close,Adj Close,Volume
2022-12-20,3198.899902,3249.000000,3163.649902,3243.949951,3179.542969,1529971
2022-12-21,3249.000000,3283.050049,3240.000000,3268.550049,3203.654785,1432566
2022-12-22,3294.000000,3294.000000,3245.100098,3259.699951,3194.980225,1384101
2022-12-23,3217.000000,3266.850098,3217.000000,3228.350098,3164.252930,1360281
2022-12-26,3228.350098,3272.000000,3225.050049,3252.899902,3188.315186,870157
2022-12-27,3269.199951,3273.800049,3231.500000,3259.500000,3194.784424,835883
2022-12-28,3249.800049,3266.100098,3226.000000,3257.100098,3192.432129,910795
2022-12-29,3231.100098,3271.500000,3228.000000,3268.750000,3203.850586,1037927
2022-12-30,3286.050049,3299.000000,3246.199951,3256.699951,3192.039795,1163131
2023-01-02,3261.000000,3266.850098,3235.199951,3261.449951,3196.695557,709547
2023-01-03,3252.000000,3320.000000,3245.300049,3311.350098,3245.604980,1245178
2023-01-04,3306.699951,3327.350098,3286.199951,3314.649902,3248.839111,1231668
2023-01-05,3330.199951,3337.300049,3281.949951,3311.100098,3245.359863,1826057
2023-01-06,3300.000000,3301.550049,3200.000000,3211.550049,3147.786377,2488376
2023-01-09,3229.000000,3327.000000,3221.149902,3319.949951,3254.033936,2885060
2023-01-10,3285.000000,3298.000000,3230.100098,3286.399902,3221.150146,3864655
2023-01-11,3290.100098,3349.500000,3271.149902,3328.699951,3262.610352,2720512
2023-01-12,3329.000000,3350.000000,3315.550049,3334.350098,3268.148193,2250391
2023-01-13,3342.899902,3379.000000,3305.000000,3374.550049,3307.550049,1742837
2023-01-16,3317.000000,3353.000000,3298.050049,3334.050049,3334.050049,1843607
2023-01-17,3330.000000,3381.800049,3321.000000,3378.399902,3378.399902,1688475
2023-01-18,3380.000000,3408.949951,3372.250000,3390.000000,3390.000000,2421189
2023-01-19,3380.000000,3387.000000,3361.000000,3373.100098,3373.100098,1585044
2023-01-20,3365.000000,3394.649902,3355.600098,3363.100098,3363.100098,1529349
2023-01-23,3388.000000,3419.000000,3355.600098,3414.899902,3414.899902,1067916
2023-01-24,3425.000000,3451.949951,3417.300049,3436.300049,3436.300049,1387863
2023-01-25,3425.300049,3435.000000,3405.000000,3429.750000,3429.750000,874110
2023-01-27,3426.000000,3446.000000,3382.300049,3411.050049,3411.050049,1785879
2023-01-30,3420.000000,3458.449951,3385.550049,3433.649902,3433.649902,1953798
2023-01-31,3449.000000,3449.000000,3351.000000,3358.699951,3358.699951,2820375
